outer_steps,count,mean_gap_percent,ci95_gap_percent,mean_solve_time_ms,ci95_solve_time_ms
1,120,134.20670598004023,5.9163518414085265,235.00537662487963,40.37118051166492
2,120,134.81758496239303,6.131558127975143,569.2789294498047,92.97552812037225
3,120,134.9162073471202,6.135133049902991,870.5242654409934,149.2217775916133
4,120,134.9162073471202,6.135133049902991,1099.4161219750822,183.46196876543485
5,120,134.9162073471202,6.135133049902991,1291.349584575073,216.25686182564812
6,120,134.9162073471202,6.135133049902991,1515.2027436917706,256.3625998679243
8,120,134.9162073471202,6.135133049902991,2065.2321552001617,340.8980153734529
