epoch,train_loss,train_loss_city,train_loss_edge,val_acc_city,val_acc_edge,val_acc_both
1,5.449743010781028,1.3997503762895411,1.5728367214853114,0.2913907284768212,0.39072847682119205,0.08278145695364239
2,5.116343671625311,1.394707289609042,1.3960255059328945,0.304635761589404,0.4337748344370861,0.11589403973509933
3,4.976981964978305,1.385764406485991,1.3289530358531259,0.31788079470198677,0.423841059602649,0.152317880794702
4,4.916652245955034,1.383789831941778,1.2980205064470118,0.32450331125827814,0.4139072847682119,0.15562913907284767
5,4.8640217781066895,1.38257297873497,1.2705297144976528,0.31788079470198677,0.44370860927152317,0.1456953642384106
6,4.859873099760576,1.3784985515204342,1.2723413651639766,0.34105960264900664,0.45364238410596025,0.18543046357615894
7,4.814462054859508,1.373397174206647,1.2526729919693687,0.34105960264900664,0.4271523178807947,0.17549668874172186
8,4.799576846036044,1.372335122390227,1.2456158968535336,0.3344370860927152,0.4205298013245033,0.16225165562913907
9,4.798308654264971,1.36450472203168,1.2527544552629644,0.34105960264900664,0.4271523178807947,0.17218543046357615
10,4.797569643367421,1.362771681763909,1.2540844976902008,0.33774834437086093,0.4304635761589404,0.16225165562913907
11,4.7705067721280185,1.36486186764457,1.237232731147246,0.3443708609271523,0.4304635761589404,0.16887417218543047
12,4.741996981880882,1.3601797385649248,1.2263640788468448,0.3344370860927152,0.45364238410596025,0.17880794701986755
13,4.732061797922308,1.3572218282656237,1.2239029109477997,0.347682119205298,0.4370860927152318,0.18211920529801323
14,4.692190105264837,1.353106051683426,1.206270395354791,0.34105960264900664,0.4304635761589404,0.17218543046357615
15,4.701360745863481,1.3521959483623505,1.2121826085177334,0.33774834437086093,0.4470198675496689,0.17218543046357615
