epoch,train_acc,val_acc,timestamp
0,,0.6488281488418579,2025-11-03T13:36:08.142894
1,0.9925720222527161,1.0,2025-11-03T13:37:09.433713
2,1.0,1.0,2025-11-03T13:38:10.724826
3,1.0,1.0,2025-11-03T13:39:11.833924
4,1.0,1.0,2025-11-03T13:40:13.017821
5,1.0,1.0,2025-11-03T13:41:14.139580
