epoch,train_acc,val_acc,timestamp
0,,0.3499999940395355,2025-11-03T13:49:38.364822
1,0.9729171762883198,1.0,2025-11-03T14:12:05.984502
2,1.0,1.0,2025-11-03T14:34:11.963616
3,1.0,1.0,2025-11-03T14:56:01.114849
4,1.0,1.0,2025-11-03T15:17:50.252968
5,1.0,1.0,2025-11-03T15:39:39.277320
